objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet001,1,00:00:01.890,00:00:02.250,Beau Newsome,Okay.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,2,00:00:03.300,00:00:05.040,Beau Newsome,So you're a little record button up there.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,3,00:00:05.640,00:00:07.230,Jamie Hill,yeah says he's going.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,4,00:00:07.529,00:00:14.519,Beau Newsome,Alright we're recording low newsome and i'm here with the University of Idaho library archives and special collections department.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,5,00:00:15.780,00:00:16.800,Beau Newsome,"Here, with Jamie.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,6,00:00:18.510,00:00:20.850,Beau Newsome,Jamie and I worked together at the Howard Hughes video.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,7,00:00:22.320,00:00:38.790,Beau Newsome,"And this is for Howard Hughes video mainstream video co op, this is an oral History project that the ui libraries doing so Jamie if you wouldn't mind reiterating your name and just do a little brief description of how you came about.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,8,00:00:39.000,00:00:41.100,Beau Newsome,To work at the video store.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,9,00:00:41.430,00:00:55.920,Jamie Hill,"store, so my name is Jamie Hill and I was a long time Howard Hughes Member and I think I signed up at Howard Hughes the store on fifth street when I was in college.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,10,00:00:57.060,00:01:08.430,Jamie Hill,And was a pretty loyal renter and then I started both talk to me and so working at the store and taking over as him for manager when he transitioned out which.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,11,00:01:09.570,00:01:25.650,Jamie Hill,"was a really weird time for the store, so I kind of was doing my full time job and that full time job and getting to know the management and their styles and then was really behind is the push to turn the video store into a cooperative.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,12,00:01:26.400,00:01:28.830,Jamie Hill,and which involves lots of conversations.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,13,00:01:28.890,00:01:29.160,,With.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,14,00:01:30.240,00:01:35.580,Jamie Hill,"Current owners new owners, all of the creation of the 501 C three so I was around for all of that.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,15,00:01:36.720,00:01:43.350,Jamie Hill,i'm on the paperwork for the state or creating that cooperative board and everything so.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,16,00:01:43.440,00:01:43.770,Beau Newsome,well.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,17,00:01:44.220,00:01:46.260,Jamie Hill,Okay yeah little bit of all of it.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,18,00:01:46.470,00:01:49.680,Beau Newsome,yeah just so little bits and pieces of it all.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,19,00:01:50.250,00:01:51.360,Beau Newsome,yeah cuz I kind of.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,20,00:01:52.470,00:01:58.290,Beau Newsome,missed out on a lot of this co op stuff so that's why we also have monique lillard.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,21,00:01:59.700,00:02:05.130,Beau Newsome,"Doing interviews as well, so cuz she was more on the the core of it yeah.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,22,00:02:05.250,00:02:10.680,Jamie Hill,Right yeah he's he was one of the first people and assign on that make sure that happen.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,23,00:02:11.700,00:02:14.700,Beau Newsome,So what brought you to Moscow was a ui.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,24,00:02:15.510,00:02:23.640,Jamie Hill,yeah came up here in 2005 to go to college born and raised and all there was no question that there was going to be anything else.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,25,00:02:24.090,00:02:25.350,Beau Newsome,alumni family.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,26,00:02:25.380,00:02:26.340,Jamie Hill,yeah yep.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,27,00:02:27.120,00:02:28.530,Beau Newsome,Sorry southern Idaho.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,28,00:02:29.220,00:02:30.120,Jamie Hill,Southern Idaho.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,29,00:02:30.870,00:02:31.620,Jamie Hill,four hours.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,30,00:02:32.280,00:02:37.350,Jamie Hill,"So I been coming up here, since I was you, I think I gave my first campus tour in about four.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,31,00:02:37.980,00:02:38.430,Jamie Hill,Oh.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,32,00:02:38.970,00:02:44.760,Beau Newsome,I love to hear when southern Idaho people come up it's like they grew up knowing about the vandals not.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,33,00:02:45.570,00:02:47.070,Beau Newsome,Other colleges you.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,34,00:02:47.280,00:02:50.700,Jamie Hill,"know you watch the news, then you go, why are you talking about them.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,35,00:02:51.000,00:02:51.330,,Right.,2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,36,00:02:52.560,00:02:54.690,Beau Newsome,"So then, when you got to ui.",2021-05-11_jamiehill_videostore_transcript.vtt
mainstreet001,37,00:02:55.980,00:02:56.970,Beau Newsome,Did you.,2021-05-11_jamiehill_videostore_transcript.vtt
