objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet021,1,00:00:02.129,00:00:13.110,Monique Lillard,"Alright, we are recording I am monique lillard i'm working for the University of Idaho library, which is doing an oral History project of the.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,2,00:00:13.290,00:00:15.000,Mitchell Lopez,Video store the video rental.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,3,00:00:15.000,00:00:16.080,,store here in town.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,4,00:00:17.250,00:00:19.200,Monique Lillard,It was first known as Howard Hughes.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,5,00:00:19.290,00:00:22.350,Monique Lillard,And then known as mainstreet video co op.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,6,00:00:23.400,00:00:26.970,Monique Lillard,i'm sitting here with my interviewee Have you had a chance to sign the release.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,7,00:00:27.870,00:00:33.300,Monique Lillard,"Yes, yes, very good and can you state your name just for the record.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,8,00:00:34.170,00:00:35.970,Mitchell Lopez,My name is Mitchell Lopez.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,9,00:00:36.180,00:00:48.660,Monique Lillard,"Okay, thank you, so how and when did you first run into the video rental store here in town and feel free to go back as far as you want your memories, or even your parents go ahead.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,10,00:00:48.720,00:00:58.080,Mitchell Lopez,yeah so my family and I moved here in 1994 and we my family is already pretty big movie buffs and.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,11,00:00:59.070,00:01:13.650,Mitchell Lopez,"US kids my three other siblings and I, we have a lot of friends, yet it was summer so no school or sports were available, so we just rented movies and entertain ourselves that way.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,12,00:01:14.460,00:01:26.880,Mitchell Lopez,"We often went to the new art kenworthy and the micro theater great, but when they weren't available or we had already watched every movie available at the time.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,13,00:01:27.720,00:01:36.600,Mitchell Lopez,We were rent movies from Howard Hughes often and it was kind of our hangout and it will take myself for my siblings hours.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,14,00:01:37.170,00:01:53.610,Mitchell Lopez,"Because we would ride our bicycles down, it would take us hours to pick a film, because you know you have to pick a good one, and anyway so that's that's kind of we that's kind of how we, we came along, as the Howard Hughes.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,15,00:01:53.700,00:02:00.510,Monique Lillard,"OK, and now how old were you when in 1994 that's an indirect way of asking how old you are now, but that would involve arithmetic.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,16,00:02:01.740,00:02:02.130,Monique Lillard,94,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,17,00:02:06.090,00:02:09.330,Mitchell Lopez,"I was 11 years old, and I am 38 now.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,18,00:02:09.660,00:02:15.480,Monique Lillard,Oh okay all right all right great so at 11 you were able to bicycle around town and.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,19,00:02:16.530,00:02:18.420,Monique Lillard,come down with your siblings right.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,20,00:02:19.500,00:02:22.710,Monique Lillard,And where was the store that you're remembering there and 94.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,21,00:02:23.040,00:02:32.310,Mitchell Lopez,"Show when we moved here, since our family open up help open up Casa back in any for when it was because of the auto.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,22,00:02:33.780,00:02:40.770,Mitchell Lopez,Howard Hughes for us was on fifth street we're now the quilt shop is and we're.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,23,00:02:41.850,00:02:43.590,Mitchell Lopez,screaming construction and.,2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,24,00:02:44.640,00:02:49.560,Mitchell Lopez,"State farm is as well, so he was a huge video store at the time.",2021-04-29_mitchelllopez_videostore_transcript.vtt
mainstreet021,25,00:02:50.460,00:02:51.930,Monique Lillard,What do you remember about the story.,2021-04-29_mitchelllopez_videostore_transcript.vtt
