objectid,transcript_line,timestamp,end,speaker,words,txt_filename
mainstreet030,1,00:00:00.000,00:00:20.640,Monique Lillard,"To the cloud Okay, it says that we're recording so for the record, it is Friday April 9 2021 and I am here with the University of Idaho oral History project about the video rental store in downtown Moscow.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,2,00:00:22.020,00:00:22.860,Monique Lillard,and,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,3,00:00:26.730,00:00:30.600,Monique Lillard,I need to ask you Melinda have you signed the waiver release form.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,4,00:00:30.690,00:00:31.320,Monique Lillard,That I said.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,5,00:00:31.440,00:00:43.530,Monique Lillard,"Very good, thank you, I just want to state on the record what I said just a second ago you can review this transcript you can make corrections, you can make changes, we can meet again it's all fine it's all fine.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,6,00:00:44.970,00:01:01.680,Monique Lillard,"Could you state your name I want to get the, especially the pronunciation of your last name, because I have a terrible tendency to misspell it so if you'll state your name and then just describe your relationship to the video store and the video cooperative just to start us off.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,7,00:01:01.890,00:01:17.010,Melinda Schad,"Sure, my name is Melinda sham and i'm the general manager of the Moscow food co op and I was a loyal patron of the video store back when it was Howard Hughes video, and I think one of the people involved in trying to save that video store for this Community.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,8,00:01:17.670,00:01:18.840,Monique Lillard,"Yes, yes.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,9,00:01:20.220,00:01:24.690,Monique Lillard,Okay let's start with just the store itself back when you were just a customer.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,10,00:01:25.980,00:01:33.180,Monique Lillard,How did you find out about the video video rental store here in Moscow and what do you remember about it.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,11,00:01:34.380,00:01:45.090,Melinda Schad,"So i've been thinking a lot about this actually and I, I think the first time I ever went to the video store was when it was located on fifth street across the street from the co-op's parking lot.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,12,00:01:46.380,00:01:59.880,Melinda Schad,"And I was a college student so like in the 90s, actually, and my friends just the group of friends, I hang I would hang out with at that point in my life, we would come down once a week and I think.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,13,00:02:00.420,00:02:06.540,Melinda Schad,"If I remember correctly, the video store still had that deal where you could get five movies, for five days for $5.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,14,00:02:07.200,00:02:18.960,Melinda Schad,"And so we would rent a whole pile of movies, and take them back to campus and you know, have a weekend binge or week night bender I think it situation dependent.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,15,00:02:19.770,00:02:28.680,Melinda Schad,"But you know some of the things that the video store did for me and and, as a young college student right, this is like developmentally appropriate.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,16,00:02:29.310,00:02:33.660,Melinda Schad,"I don't think i'd ever seen a foreign film before, and so I remember.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,17,00:02:34.650,00:02:44.010,Melinda Schad,"My some of my friends were really into some films that I had never even heard of, and so I had this whole introduction to this portion of the culture that I had never experienced.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,18,00:02:44.790,00:02:54.150,Melinda Schad,"Because that video store existed in our Community, and you could just go rent any movie I mean it was incredible it was it was a huge asset.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,19,00:02:55.770,00:02:57.510,Monique Lillard,And you were at school at the University of Idaho.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,20,00:02:57.570,00:02:58.410,Melinda Schad,that's correct.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,21,00:02:58.440,00:02:58.830,Monique Lillard,Right.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,22,00:02:58.860,00:03:01.830,Monique Lillard,Right yeah tried pulling your microphone about an.,2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,23,00:03:01.890,00:03:04.320,Monique Lillard,"inch farther away from yourself, so that yeah.",2021-04-09_melinda_schab_videostore_transcript.vtt
mainstreet030,24,00:03:04.380,00:03:06.180,Monique Lillard,There you go see your constant there you go great.,2021-04-09_melinda_schab_videostore_transcript.vtt
