objectid,transcript_line,start,end,speaker,text,txt_filename
mainstreet035,1,00:00:02.879,00:00:12.360,Monique Lillard,"Okay, it looks as if it's recording my name is monique lillard and I am doing this oral History project for the University of Idaho libraries.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,2,00:00:13.830,00:00:31.110,Monique Lillard,"We are doing a project about the video rental store in downtown Moscow Idaho today is July 2 2021 and I am here with someone to interview, have you have you signed the release.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,3,00:00:31.530,00:00:31.920,Courtney Berge,I have.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,4,00:00:32.250,00:00:34.440,Monique Lillard,"Very good, would you state your name for the record.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,5,00:00:34.980,00:00:35.880,Courtney Berge,Courtney bird.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,6,00:00:36.570,00:00:48.000,Monique Lillard,"Bird okay very good Thank you again for being here, so how and when did you first find out about the video rental store here in town and how often did you go.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,7,00:00:48.600,00:01:00.240,Courtney Berge,"um well I don't know when I first heard about it, my first memory of it, I grew up in Moscow, so my first memory of it.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,8,00:01:01.530,00:01:05.520,Courtney Berge,"was when it was on its fifth street location, it was.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,9,00:01:07.050,00:01:17.610,Courtney Berge,The the appliances had already moved out of the place and it was just the video rental I didn't even know appliances were there until later in life um.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,10,00:01:18.660,00:01:19.650,Courtney Berge,But.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,11,00:01:21.180,00:01:29.430,Courtney Berge,I was probably nine or 10 the first time I remember going and I went I would go.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,12,00:01:31.470,00:01:41.040,Courtney Berge,"Probably every week or every couple weeks cuz I would go Thursday mornings, I had coffee with my grandpa and his for friends at the wheat berries bakery.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,13,00:01:41.640,00:01:56.790,Courtney Berge,"For years and years and years, and so, when we were downtown i'd take a few minutes and i'd run to the video store and I don't remember what prompted me to go there, the first time i'm and I don't remember any times before, that but.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,14,00:01:57.840,00:01:59.970,Courtney Berge,"I remember, I must have been nine or 10.",2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,15,00:02:01.140,00:02:06.450,Monique Lillard,Great and wheat berries was directly across the street across Main Street wasn't it.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,16,00:02:06.720,00:02:12.510,Courtney Berge,It was right next to it yeah where the recovery Center is it's right next to where one world currently.,2021-07-02_courtneyberge_videostore_transcript.vtt
mainstreet035,17,00:02:12.510,00:02:18.780,Monique Lillard,"is okay very good yeah That was a great place i'm glad you said it, because that name has not yet come up.",2021-07-02_courtneyberge_videostore_transcript.vtt
